8477503,29,107,18,38,56
8477503,12,10,0,4,4
8477503,8,153,45,71,116
8477503,53,222,36,99,135
8477987,28,50,6,14,20
8477987,55,64,14,13,27
8477987,30,84,18,21,39
8477987,6,46,11,7,18
8475820,21,116,33,31,64
8475820,55,66,2,16,18
8475820,28,283,45,77,122
8474563,26,698,89,316,405
8475343,15,230,34,36,70
8475343,23,40,3,0,3
8475343,26,91,6,17,23
8475413,25,76,4,10,14
8475413,23,22,2,2,4
8477934,22,550,249,358,607
8480326,21,48,3,3,6
8480326,23,2,0,0,0
8477494,8,263,46,111,157
8477494,14,164,29,66,95
8482142,24,97,7,31,38
8479346,20,190,28,39,67
8479400,52,114,34,41,75
8479400,29,239,66,93,159
8475168,18,168,57,73,130
8475168,9,118,50,57,107
8475168,29,23,4,8,12
8475168,21,367,113,165,278
8477407,13,107,38,46,84
8477407,9,87,31,23,54
8477407,29,53,11,8,19
8477407,53,172,34,40,74
8477407,16,23,2,6,8
8477407,3,18,1,6,7
8476856,30,518,75,146,221
8475208,5,456,18,95,113
8478407,19,267,32,70,102
8478407,55,67,7,22,29
8482623,29,6,0,0,0
8477989,53,302,67,79,146
8477989,8,47,10,15,25
8476288,9,276,68,67,135
8476288,12,75,10,23,33
8476288,53,26,4,3,7
8476288,28,6,1,0,1
8476288,29,21,4,8,12
8475236,7,114,7,12,19
8475236,54,199,37,41,78
8475236,52,8,1,4,5
8475236,25,349,61,85,146
8474586,2,272,76,93,169
8474586,55,70,18,22,40
8474586,22,360,113,150,263
8471303,23,539,56,169,225
8471303,26,34,2,13,15
8476441,8,70,5,11,16
8476441,12,68,7,13,20
8476441,19,269,13,39,52
8477940,52,470,161,191,352
8478403,7,375,139,216,355
8478403,54,25,11,8,19
8477932,13,554,97,194,291
8475218,18,651,56,188,244
8475171,53,639,114,231,345
8475171,23,70,4,20,24
8474189,15,418,77,109,186
8474189,8,279,48,61,109
8475176,18,530,72,187,259
8475176,4,4,1,4,5
8478115,10,158,28,26,54
8474589,22,39,5,8,13
8474589,9,118,22,35,57
8474589,10,51,12,6,18
8474589,30,73,8,14,22
8474589,7,279,59,85,144
8480025,16,56,6,8,14
8470626,23,252,38,52,90
8470626,53,63,2,15,17
8470626,6,224,62,85,147
8470626,25,48,12,17,29
8478493,30,332,64,73,137
8477454,17,172,18,24,42
8477454,14,114,13,14,27
8478133,8,124,15,24,39
8477952,17,138,41,38,79
